route,viewport,http_status,harness_ms,ttfb_ms,dom_interactive_ms,load_end_ms,resources,js_errors,failed_requests,overflow_x_px,mobile_cutoff_elems,duplicate_ids,interactive_visible,interactive_total,unnamed_buttons,unlabeled_inputs,img_no_alt,h1_count,error_boundary,has_main
/home,d,200,4293,146,391,669,19,0,0,-15,,0,46,46,0,0,0,2,0,1
/home,m,200,4297,241,269,678,19,0,0,-15,0,0,25,46,0,0,0,2,0,1
/login,d,200,4043,85,183,358,19,0,2,0,,0,5,5,0,0,0,1,0,1
/login,m,200,4043,131,159,393,19,0,2,-19,0,0,5,5,0,0,0,1,0,1
/workbench,d,200,4193,200,384,675,18,0,0,-20,,0,30,30,0,0,0,0,0,1
/workbench,m,200,5193,436,473,742,18,0,0,-19,0,0,9,30,0,0,0,0,0,1
/organism,d,200,9992,84,164,362,23,0,0,-20,,0,88,88,0,0,0,1,0,1
/organism,m,200,9995,160,229,498,23,0,0,-19,0,0,67,88,0,0,0,1,0,1
/organism/replay,d,200,9990,86,171,454,24,0,0,-20,,0,93,93,0,0,0,2,0,1
/organism/replay,m,200,9993,167,211,507,24,0,0,-19,0,0,72,93,0,0,0,2,0,1
/organism/map,d,200,9984,83,145,510,18,0,0,-20,,0,308,308,0,0,0,1,0,1
/organism/map,m,200,10061,138,194,547,18,0,0,-19,0,0,287,308,0,0,0,1,0,1
/agents,d,200,4848,254,320,841,16,0,0,-20,,0,24,24,0,0,0,1,0,1
/agents,m,200,4847,549,641,959,16,0,0,-19,0,0,3,24,0,0,0,1,0,1
/files,d,200,3993,77,152,292,16,0,0,0,,0,24,24,0,0,0,1,0,1
/files,m,200,3993,149,183,365,16,0,0,1,0,0,3,24,0,0,0,1,0,1
/files/local,d,200,3992,84,139,288,16,0,0,0,,0,43,43,0,0,0,1,0,1
/files/local,m,200,3992,134,178,388,16,0,0,-19,0,0,22,43,0,0,0,1,0,1
/tools,d,200,4995,609,872,1054,16,0,0,-20,,0,26,26,0,0,0,1,0,1
/tools,m,200,4995,873,921,1161,16,0,0,-19,21,0,5,26,0,0,0,1,0,1
/marketplace,d,200,3992,133,233,399,16,0,0,-20,,0,25,25,0,0,0,1,0,1
/marketplace,m,200,4990,234,283,516,16,0,0,-19,0,0,4,25,0,0,0,1,0,1
/observe,d,200,4993,1158,1207,1330,17,0,0,-20,,0,27,27,0,0,0,1,0,1
/observe,m,200,5992,1696,1781,1996,17,0,0,-19,0,0,6,27,0,0,0,1,0,1
/games,d,200,3986,71,125,411,22,0,0,-20,,0,46,46,0,0,0,0,0,1
/games,m,200,4990,120,162,534,22,0,0,-19,0,0,25,46,0,0,0,0,0,1
/apps,d,200,3986,71,133,279,17,0,0,0,,0,38,38,0,0,0,1,0,1
/apps,m,200,3987,127,167,413,17,0,0,-19,0,0,17,38,0,0,0,1,0,1
/media,d,200,3993,52,110,248,18,0,0,0,,0,26,26,0,0,0,1,0,1
/media,m,200,3994,105,133,356,18,0,0,1,0,0,5,26,0,0,0,1,0,1
/docs-output,d,200,3993,69,124,269,18,0,0,0,,0,26,26,0,0,0,2,0,1
/docs-output,m,200,3993,118,163,357,18,0,0,-19,0,0,5,26,0,0,0,2,0,1
/evidence,d,200,4993,357,409,526,17,0,0,-20,,0,26,26,0,0,0,1,0,1
/evidence,m,200,4996,748,776,881,17,0,0,-19,20,0,5,26,0,0,0,1,0,1
/diagnostics,d,200,4988,64,148,492,16,0,0,-20,,0,34,34,0,0,0,1,0,1
/diagnostics,m,200,4992,143,180,572,16,0,0,-19,20,0,13,34,0,0,0,1,0,1
/design-system,d,200,3987,151,224,367,16,0,0,-20,,0,25,25,0,0,0,1,0,1
/design-system,m,200,3991,218,262,473,16,0,0,-19,0,0,4,25,0,0,0,1,0,1
/technology,d,200,3988,56,114,247,19,0,0,-20,,0,35,35,0,0,0,1,0,1
/technology,m,200,4016,110,141,358,19,0,0,-19,0,0,14,35,0,0,0,1,0,1
/settings,d,200,3956,60,130,280,16,0,0,0,,0,24,24,0,0,0,1,0,1
/settings,m,200,3956,125,157,373,16,0,0,-19,0,0,3,24,0,0,0,1,0,1
/open-source,d,200,3993,69,133,263,15,0,0,-20,,0,22,22,0,0,0,1,0,1
/open-source,m,200,3993,128,171,368,15,0,0,-19,0,0,1,22,0,0,0,1,0,1
/,d,200,3993,52,95,304,17,0,0,-20,,0,12,12,0,0,0,1,0,1
/,m,200,3993,90,120,433,17,0,0,-19,0,0,7,12,0,0,0,1,0,1
/organism/live,d,200,9993,73,144,364,23,0,0,-20,,0,88,88,0,0,0,1,0,1
/organism/live,m,200,9994,138,181,471,23,0,0,-19,0,0,67,88,0,0,0,1,0,1
/responsive,d,200,3991,61,127,353,15,0,0,-20,,0,22,22,0,0,0,1,0,1
/responsive,m,200,3991,122,157,381,15,0,0,-19,0,0,1,22,0,0,0,1,0,1
/run/[id],d,200,3994,83,116,348,17,0,0,0,,0,1,1,0,0,0,0,0,1
/run/[id],m,200,4992,203,231,620,17,0,0,1,0,0,1,1,0,0,0,0,0,1
